"month_start","message_timestamp","infared_temps"
"2021-04-01 00:00:00.000","1619124124","[19.41983,18.78766,19.39444,19.42703,18.80179,17.87079,17.52319,17.64203,17.75851,17.38022,18.46701,19.0676,19.16846,18.62167,19.16846,19.07529,19.11035,18.91061,19.08304,19.17441,19.30481,19.01389,19.33563,19.55463,19.38934,19.27322,19.46613,20.2515,20.17456,21.31174,24.84149,25.71454,19.81134,19.16669,19.60034,19.02347,19.08289,18.59476,18.05698,17.83627,17.90756,17.97592,19.06119,19.13397,19.03745,18.68512,19.42188,19.05502,19.21698,19.11572,19.26767,19.13913,19.30884,19.05292,19.55798,19.30109,19.57416,19.15848,19.78641,19.70078,21.21298,21.98651,25.89264,25.44989,19.25992,18.75702,19.10727,19.23828,19.08636,18.63156,18.94315,18.50006,18.57465,18.7077,19.13864,18.85956,18.92102,18.35083,19.17053,18.90268,19.14401,18.91891,19.103,19.45126,19.20471,19.23917,19.52847,19.55377,19.54602,19.51028,19.8793,19.97583,21.00281,22.35611,25.2002,26.2901,19.42139,18.93774,19.12839,18.99365,19.32684,18.74835,19.20944,18.90875,19.06503,19.10437,18.88135,18.63101,18.9325,18.55078,19.24368,19.01996,19.11935,18.99353,19.22153,19.40561,19.33966,19.16913,19.96027,19.40335,19.38297,19.49561,19.98776,19.51831,20.827,21.65689,25.33298,25.60541,18.86813,18.39209,19.18082,18.65027,18.71271,18.31467,18.95651,18.86963,18.81995,18.37817,18.85553,18.85522,18.90604,18.80283,19.07867,19.14767,19.08426,18.88675,19.14096,19.48441,19.30704,19.2049,19.50827,19.82602,19.53296,19.46414,19.63855,19.84384,20.69263,21.79132,25.05695,25.93979,19.21887,18.70789,19.15558,18.59784,18.7529,18.34619,18.90854,18.74374,18.70935,18.38431,18.93204,18.9274,18.94483,19.01962,19.16119,19.09683,19.21609,19.0257,19.18433,19.22113,19.44159,19.30081,19.6355,19.5918,19.59848,19.41458,19.70084,19.62741,21.27896,22.927,25.78229,25.70078,18.8844,18.27905,18.49023,18.71179,18.53812,18.10913,18.60965,18.50043,18.85251,18.20178,18.7692,18.93707,19.17413,18.88266,19.2186,19.2309,19.24344,18.93228,19.2926,19.38882,19.38138,19.20792,19.4512,19.69376,19.67023,19.32013,19.63913,19.79453,21.72482,24.38651,27.276,26.89707,19.3869,18.67749,18.90662,18.71069,18.54996,18.09454,18.53384,18.60166,18.93771,18.58749,18.98376,18.86374,19.14145,19.17044,19.24185,19.33606,19.43881,19.14395,19.42029,19.48743,19.55823,19.36719,19.51288,19.48697,19.47458,19.34988,19.65683,19.3255,21.60977,24.30466,27.26953,26.73801,19.34863,18.21353,18.56589,18.35922,18.48026,18.12891,18.49728,18.49988,18.95407,18.64337,19.17929,18.98721,19.18921,18.81973,19.12473,19.40628,19.34421,19.12405,19.66599,19.52753,19.66461,19.31573,19.62375,19.90155,19.46188,19.52454,19.53641,19.67856,20.12674,21.40668,25.63315,25.06979,18.99954,18.53024,18.75433,18.47366,18.54556,18.42325,18.67422,18.52563,18.95316,18.94382,19.30786,19.14975,19.31995,18.92438,19.17334,19.3118,19.27393,19.25095,19.74249,19.34384,19.63834,19.37531,19.63254,19.77316,19.5423,19.32028,19.59296,19.71011,19.5936,19.69122,21.53101,21.72961,19.06213,18.29028,18.63339,18.49661,18.82101,18.22275,18.79956,18.39111,19.01468,18.73975,19.04797,19.32111,19.28772,18.9053,19.27408,19.48441,19.35373,19.04309,19.54709,19.4541,19.54031,19.24469,19.50034,19.46982,19.34869,19.26428,19.50269,19.51691,19.47815,19.34616,19.53659,19.87448,19.22455,18.63895,19.05652,18.5141,19.15082,18.45419,19.16565,18.66058,18.88675,18.79056,19.1517,19.41827,19.25266,19.04044,19.3699,19.58273,19.19946,19.01547,19.37769,19.38211,19.41928,19.2413,19.45963,19.38861,19.26031,19.22543,19.6293,19.33316,19.33011,19.11533,19.79627,19.41284,19.03598,18.28925,18.83267,18.6326,18.95456,18.22534,18.99152,18.77286,19.1431,18.59326,19.11502,19.25925,19.51898,18.93283,19.34485,19.39127,19.55737,19.05081,19.26541,19.12759,19.42862,19.12405,19.34134,19.61465,19.50589,19.09488,19.32532,19.45783,19.42777,19.19031,19.19107,20.17478,19.77628,18.68421,19.20547,18.98383,19.27734,18.7478,19.26181,18.91086,19.20267,18.71887,19.06308,19.3103,19.36502,19.15598,19.3407,19.41315,19.51224,19.20526,19.21823,19.10086,19.11224,19.22827,19.26077,19.29236,19.43082,19.08133,19.26382,18.9978,19.37552,19.03821,19.68845,19.37055,19.46881,18.20923,18.9325,18.77191,19.26672,18.6658,19.18466,19.23996,19.16971,18.59512,19.09,19.01569,19.31723,18.97897,19.35602,19.14108,19.53912,19.01843,19.37857,19.19116,19.30637,19.08502,19.18982,19.15222,19.1282,19.15897,19.27014,19.50482,19.44754,19.21011,19.70078,19.70105,20.17404,18.80328,19.29431,18.89356,19.58328,18.99271,19.30234,19.2973,19.14691,18.92532,19.19955,19.13525,19.15945,19.0256,19.26971,19.14819,19.5054,19.10358,19.31824,19.01932,19.13651,18.95871,19.176,19.06506,19.17935,19.09576,19.22113,19.3577,19.51459,18.85404,19.70361,19.1254,20.30115,18.84338,19.04489,18.89038,19.32614,18.70856,19.20957,18.82034,19.22192,18.96515,19.20407,18.98444,19.26303,18.68918,19.49081,19.15634,19.33929,18.89145,19.36649,19.14651,19.12787,18.87125,19.06961,19.31778,19.10623,18.91061,19.15497,19.41458,19.58136,18.95566,19.34482,20.28861,20.81024,19.61905,19.38403,19.08838,19.67136,18.91577,19.41754,19.02051,19.18237,19.151,19.41846,19.11017,19.23895,18.79941,19.32556,19.21378,19.25922,18.87723,19.47867,19.03745,18.99979,18.89154,19.21454,18.93579,18.90036,18.73099,19.15945,19.17654,19.80093,18.82355,19.41171,19.57321,19.96961,18.35703,19.58234,19.10736,19.68924,19.02301,19.57758,19.47961,19.9599,20.23599,21.96381,21.07919,19.65897,19.06528,19.28781,19.28461,19.34335,18.94452,19.26251,19.13513,19.14554,19.09314,19.26257,19.25909,19.12543,19.01498,19.46146,19.95416,19.62186,19.53497,19.61703,19.97165,20.33609,18.82608,20.20758,19.42294,19.93167,19.53986,19.92444,19.72809,20.71945,21.98111,23.66019,22.68088,20.74124,19.6239,19.20551,19.20401,19.07996,18.89209,19.32861,18.89566,18.98407,19.02417,19.29318,18.7952,19.02838,18.95023,19.59338,19.52646,19.59924,19.48438,19.84143,19.51199,20.34351,18.34494,19.73544,19.51172,20.62811,19.31232,20.56265,20.20596,24.02533,24.59497,25.76486,25.20279,24.27014,22.79273,21.22433,20.16995,19.50375,18.92874,19.33621,19.27905,19.21127,18.93936,19.27948,19.47244,19.67511,19.16568,19.44757,20.2431,19.6105,19.48514,19.89157,20.64325,20.91712,19.45163,20.68295,19.69006,21.05991,20.18735,21.3353,21.11643,25.61713,25.72391,26.40357,25.82678,25.40729,24.41,23.23236,21.92496,20.52936,19.6972,19.52713,19.16531,19.25729,18.77463,19.40604,18.98483,19.55841,18.82666,19.73169,19.81516,19.43005,19.46939,20.49512,19.31616,21.60568,19.11597,20.9614,19.60983,21.72882,20.62695,22.71268,22.63666,25.03479,24.93225,27.31635,27.17688,26.92081,26.22391,26.24936,25.68698,24.86453,23.90619,22.23734,20.75995,19.67923,18.81415,19.55145,19.68692,19.66504,19.37848,19.96725,20.48947,20.04242,19.80093,20.8732,23.13712,23.59485,20.43265,21.84595,19.94415,22.29138,20.58096,22.86362,21.88113,23.98697,23.70966,27.23129,27.41992,27.50162,26.56012,27.12723,26.30209,25.99616,25.19504,24.09851,22.53049,20.25766,18.96948,19.7446,18.87534,19.32797,19.15283,20.07843,19.75854,20.1456,19.52325,21.62582,21.03394]"
"2021-04-01 00:00:00.000","1619123133","[19.12704,18.58115,18.89276,18.99521,18.29797,17.57538,17.01663,17.021,17.11176,16.89777,18.23755,18.58261,18.91885,18.38229,18.7927,18.70914,18.98596,18.54434,18.97253,18.95328,19.20944,18.66699,19.12143,19.08469,19.19507,18.81171,19.31174,19.63409,19.27991,19.09732,21.47745,22.0101,19.60062,18.66122,19.16647,19.05954,18.94525,18.24771,17.58524,17.18207,17.42078,17.46961,18.57642,18.75928,18.6633,18.42465,19.05038,18.79468,18.84332,18.733,18.90561,18.89087,19.0849,18.94385,19.22052,19.08298,19.10446,18.96371,19.50702,19.36853,19.65945,18.96854,21.09524,22.2493,18.94931,18.5036,18.77612,18.94907,18.88486,18.3013,18.71509,17.8808,18.07135,18.08841,18.9913,18.47925,18.64841,18.18994,19.00879,18.62466,19.09241,18.52438,18.95462,19.06992,19.0657,18.86627,19.28601,19.2037,19.18393,19.03296,19.53555,19.51678,19.44733,18.85614,20.39334,21.71607,19.17911,18.79068,18.8446,18.97186,19.0018,18.66693,18.86255,18.66858,18.56818,18.60132,18.61481,18.58487,18.64832,18.38031,18.95679,18.84586,18.94199,18.92438,18.83469,19.24438,18.83905,18.9032,19.47089,19.15765,19.04035,19.26831,19.68085,19.32516,19.34412,19.21304,19.97531,21.47076,18.7218,18.29361,18.6792,18.49243,18.62646,18.10361,18.83551,18.62152,18.66245,18.09784,18.68103,18.56287,18.71869,18.49332,18.88895,18.83908,18.99573,18.57977,18.95905,19.08539,19.13937,18.81293,19.24927,19.33112,19.41748,19.10913,19.42966,19.22458,19.86829,19.3541,21.76776,21.52158,18.94867,18.3707,18.84473,18.54492,18.5434,18.24295,18.79196,18.48257,18.54123,18.21246,18.85104,18.74124,18.73654,18.81781,18.74777,18.89627,18.80045,18.72626,18.98672,19.14008,19.15137,19.12787,19.25748,19.44641,19.10718,19.1716,19.51639,19.42007,20.02933,21.6254,22.63867,25.7583,18.71643,18.14355,18.57727,18.37921,18.29755,17.86655,18.34314,18.11279,18.56479,18.11063,18.67807,18.52515,19.06278,18.55615,19.10379,19.00186,19.22415,18.60428,19.19501,19.17496,19.29193,18.90521,19.17633,19.19196,19.41174,18.95203,19.54761,19.45871,23.31152,22.26016,28.30185,28.21567,18.93073,18.48825,18.57986,18.48682,18.44562,18.08737,18.37915,18.43796,18.74173,18.49942,18.77103,18.76114,19.00546,18.9534,19.00696,19.11893,19.10745,19.01877,19.00269,19.18237,19.24564,19.17303,19.23233,19.32196,19.21585,19.21829,19.44385,19.37982,22.32492,26.59808,28.32788,29.1962,19.00537,17.90082,18.34488,18.01608,18.35773,17.86838,18.33301,18.10336,18.76312,18.32858,18.97192,18.85501,19.05759,18.48132,19.08655,19.06781,19.30887,18.87817,19.45322,19.29977,19.56543,19.00455,19.44577,19.61172,19.31409,19.02692,19.29715,19.6048,24.55972,25.94601,28.87833,29.29471,18.85614,18.47992,18.55658,18.23972,18.17465,18.39178,18.39188,18.45975,18.74762,18.84039,19.08102,18.93518,18.88721,18.79031,18.92599,19.17426,19.02676,19.116,19.31784,19.22479,19.32047,19.17288,19.44418,19.59174,19.15839,19.17111,19.3681,19.6088,23.16504,25.96905,28.81085,28.03458,18.87079,17.97571,18.54544,18.14716,18.6828,17.83878,18.73752,18.31583,18.91147,18.517,19.02783,18.98624,19.15475,18.74496,19.13727,19.23352,19.2178,18.7898,19.32739,19.1225,19.33185,18.92551,19.21051,19.17227,19.19009,18.87946,19.25549,19.29767,19.7041,22.62824,21.42227,23.94699,19.07086,18.43723,18.9856,18.54215,18.89307,18.4202,18.7691,18.48074,18.76685,18.68082,18.82269,19.10245,19.00494,19.08478,19.11807,19.44333,18.94922,18.96573,19.13782,19.25647,19.19235,19.13214,19.15997,19.20288,19.09949,19.07071,19.26578,19.22757,19.29266,19.21072,21.3764,19.78275,19.15158,17.81848,18.74417,18.41263,18.81284,17.95737,18.92996,18.59088,19.04846,18.27298,18.9017,18.92654,19.29028,18.68417,19.20941,19.0484,19.5062,18.80185,19.13977,18.89178,19.22525,18.80609,19.26529,19.21271,19.345,18.94965,19.08264,19.24085,19.3588,18.87106,19.20285,19.90445,19.61938,18.47989,18.86383,18.74292,19.01846,18.47589,18.97928,18.84195,19.09061,18.70972,18.92944,19.09052,19.20496,19.01993,19.0946,19.27982,19.2569,18.97845,19.07413,18.97726,18.89264,19.02716,18.96542,19.2186,19.03879,18.92856,18.9057,18.8931,19.0466,18.83215,19.23981,19.38834,19.28046,18.04898,18.85132,18.42386,19.13431,18.4035,19.0177,18.84204,19.07864,18.3811,18.9776,18.78842,19.1947,18.73038,19.32288,18.9007,19.4086,18.77859,19.16821,18.86646,19.10684,18.77213,19.12427,18.75702,18.98135,18.77747,19.03372,19.15686,19.24078,18.89905,19.36786,19.26282,20.02893,18.759,18.95743,18.79401,19.21243,18.96527,19.13507,19.121,18.94412,18.62418,18.97571,19.0213,19.01532,18.89557,19.12744,19.02267,19.16956,18.97958,19.09268,19.00461,18.83899,18.8678,18.77927,18.89664,18.79865,19.07242,18.87045,19.12802,19.19302,18.81244,19.60529,18.98383,20.12711,18.54395,18.98282,18.69815,19.33798,18.46576,18.94376,18.55136,19.04437,18.55627,19.10883,18.77115,19.15207,18.46127,19.28018,18.92383,19.32379,18.56946,19.26373,18.93631,18.94183,18.57101,18.90985,18.92932,18.97269,18.66611,19.22067,19.07993,19.38617,18.66003,19.20807,20.04108,20.52377,19.43491,19.21274,19.01401,19.31088,18.79108,19.15887,18.86993,18.89224,18.96536,19.11099,18.91299,18.91742,18.59039,19.10138,19.09924,19.03543,18.77536,19.16562,18.84302,18.80789,18.60227,18.82874,18.78113,18.6582,18.73959,18.82337,18.95688,19.33331,18.47726,19.16129,19.43936,19.81403,17.90179,19.3848,18.78922,19.59476,18.53568,19.45056,19.10553,19.91492,19.95541,21.78665,20.78693,19.57416,18.65332,19.09631,19.07987,19.15103,18.63995,19.08591,18.84177,18.97955,18.69885,19.24338,18.88693,19.1452,18.66547,19.4003,19.48871,19.2785,19.25101,19.30365,19.75034,19.88898,18.82928,19.89844,19.22125,19.58765,19.30234,19.68726,19.59555,20.56607,21.81653,23.27136,22.50275,20.54849,19.53922,19.01056,19.01498,18.88297,18.70761,19.04504,18.83316,18.70651,18.98114,18.91989,18.79489,18.80515,18.71854,19.27554,19.32986,19.14023,19.31766,19.61591,18.99564,20.02905,17.89975,19.56439,19.05212,20.27185,18.97595,20.46649,19.85489,23.7731,24.33826,25.49872,24.93799,24.10156,22.51355,21.17172,19.88959,19.33813,18.53647,19.06982,19.0123,19.19901,18.56787,19.04056,18.98849,19.59418,18.68863,19.42755,19.62329,19.46078,19.228,19.82486,20.01154,20.68082,19.12744,20.23364,19.67215,20.58862,19.96921,21.13138,21.01709,25.13654,25.46661,26.03494,25.56293,25.13568,24.24768,22.96368,21.76498,20.25629,19.53931,19.14975,18.90158,19.01086,18.77856,19.18863,18.89651,19.07828,18.77103,19.27222,19.47339,19.16763,19.14417,19.8624,19.08521,21.5466,18.69888,20.63931,19.17023,21.54883,20.16925,22.36188,22.17349,24.80695,24.58774,27.07382,26.703,26.55216,25.862,25.99759,25.32678,24.61237,23.54462,21.86716,20.40198,19.44852,18.46588,19.48544,19.06629,19.47568,19.08499,19.6412,19.8656,20.13083,19.384,20.35864,22.07129,22.9682,19.92026,21.40826,19.61881,21.83606,20.39996,22.40259,21.67795,23.37637,23.47614,26.63251,27.05286,26.90347,26.31058,26.52884,26.05383,25.63489,24.94488,23.61859,22.28787,20.05805,18.74048,19.26917,18.66864,19.02032,18.80789,19.63458,19.61316,19.72736,19.24149,20.97955,20.48776]"
"2021-04-01 00:00:00.000","1619123794","[19.56647,18.83276,19.1405,19.28607,18.73685,17.91614,17.45776,17.68716,17.55261,17.4256,18.40228,19.1124,18.97791,18.66672,18.97791,18.9946,18.91965,18.95557,19.14911,19.21921,19.10413,18.92258,19.27075,19.5993,19.32443,19.15674,19.40061,19.93637,19.52484,20.168,21.67423,23.2442,19.85632,19.10062,19.46265,18.9578,19.1279,18.52911,18.10211,17.77042,18.08884,17.77484,19.10593,18.94058,19.0824,18.61978,19.34488,18.99002,19.13943,18.92838,19.31235,19.07397,19.35382,19.11951,19.74234,19.23532,19.4689,18.93591,19.83115,19.63422,20.32648,19.21521,22.87189,22.43988,19.00031,18.80206,18.8703,19.28302,19.02185,18.67661,18.8786,18.40891,18.5101,18.75269,19.07443,19.02264,18.74188,18.39594,19.10635,18.94751,19.1925,18.85202,18.92035,19.49591,19.14029,19.16153,19.46393,19.59845,19.33951,19.55524,19.6546,19.86008,19.53504,19.70563,20.4133,23.22324,19.27747,18.87186,19.17313,19.08902,19.3717,18.68307,19.25412,18.71097,18.98734,18.92065,19.04251,18.56604,18.97745,18.48581,19.28833,18.95523,19.16422,18.92868,19.26633,19.22641,19.26675,18.9845,19.75308,19.33801,19.42804,19.4299,20.03241,19.45215,19.8374,19.11945,21.44525,21.0881,18.80307,18.43726,18.95996,18.84869,18.78726,18.3598,18.89218,18.91449,18.7558,18.42328,18.79132,18.79196,18.84189,18.74509,19.01465,19.09009,19.02023,18.82813,18.96988,19.42108,19.24292,19.13709,19.2005,19.7489,19.46848,19.5091,19.42636,19.73776,19.98334,20.02124,20.49326,21.79431,19.26398,18.47171,19.04739,18.53241,18.79794,18.41473,19.07813,18.6788,18.75436,18.31931,18.97681,18.65149,18.98981,18.85477,19.20596,18.93161,19.26099,18.75766,19.2291,19.26196,19.37741,19.12543,19.5614,19.5267,19.51639,19.34912,19.8895,19.4122,20.21704,20.11426,22.18466,22.43182,18.81931,18.32425,18.42538,18.75668,18.47348,18.02835,18.30865,18.54541,18.68115,18.35251,18.70508,18.77765,19.01273,18.92755,19.15472,19.27557,19.17953,18.97717,19.12778,19.43347,19.31735,19.14807,19.27335,19.62347,19.60596,19.23923,19.43713,19.69803,20.45206,22.7627,25.5076,28.33386,19.26688,18.61176,18.95142,18.78613,18.59506,18.02917,18.57874,18.42331,19.08798,18.52271,19.0285,18.69855,19.28232,18.91592,19.2865,19.27158,19.29419,19.07932,19.46497,19.22488,19.40009,19.19922,19.55756,19.422,19.51956,19.40891,19.83594,19.39981,22.53912,23.04544,28.63425,28.41855,19.12323,18.1044,18.35977,18.40424,18.41565,18.0542,18.31989,18.43423,18.78644,18.58734,18.91946,19.03195,19.12521,18.86462,19.06085,19.35898,19.09384,19.16885,19.5065,19.47549,19.50018,19.25848,19.55966,19.94617,19.39761,19.44977,19.60397,19.99521,22.4104,26.44452,28.50195,29.76431,19.20419,18.46448,18.93906,18.2717,18.46536,18.35806,18.60757,18.46069,18.99808,18.77933,19.35248,19.08536,19.2731,18.76724,19.21802,19.15598,19.31879,19.09473,19.78705,19.37524,19.58359,19.21018,19.78378,19.81552,19.47019,19.37347,19.63766,19.64453,23.67645,24.81781,29.12695,28.9552,18.84079,18.18228,18.70715,18.5416,18.75656,18.14999,18.7352,18.65286,18.95062,18.68604,18.98401,19.36572,19.22391,18.85892,19.30121,19.52902,19.29001,19.08792,19.29541,19.49872,19.47647,19.19043,19.3302,19.51459,19.28436,19.19196,19.43805,19.6947,20.43329,23.28143,26.31222,25.10391,19.26965,18.42014,19.23831,18.58215,19.19586,18.38904,19.21036,18.59555,18.93179,18.72571,19.10077,19.1683,19.20538,19.06711,19.41458,19.42764,19.24436,19.13232,19.5162,19.31754,19.46414,19.07776,19.50433,19.32364,19.30536,19.16006,19.54651,19.2674,19.8139,20.24963,21.86774,22.3089,19.12601,18.1824,18.76794,18.67755,18.89011,18.15323,19.03738,18.81769,19.07898,18.53903,19.05096,19.2099,19.27344,18.97769,19.18973,19.43588,19.40356,19.09564,19.1073,19.26715,19.26523,19.16888,19.2771,19.55209,19.4415,19.13989,19.26056,19.50269,19.508,19.08362,19.47101,20.21957,19.82111,18.61804,19.38873,18.78589,19.32224,18.44873,19.30646,18.84601,19.1463,18.6539,19.20441,19.05667,19.40979,19.09137,19.38541,19.34866,19.55704,19.1406,19.35736,18.9404,19.25726,19.06241,19.30557,19.22727,19.47583,18.89819,19.30881,19.06619,19.42078,18.97138,19.73343,19.47952,19.56149,18.25458,18.72681,18.68185,19.32544,18.71091,19.12042,19.06711,19.00266,18.53909,19.02579,18.96335,19.15833,18.93161,19.19852,19.18579,19.38263,19.15741,19.21771,19.23587,19.14133,19.02808,19.23471,19.08557,19.18286,19.20398,19.07062,19.54968,19.3822,19.25525,19.63501,19.746,20.21875,18.737,19.3392,18.96338,19.62808,19.04681,19.34711,19.2323,19.1918,18.75854,19.14612,19.07047,19.29922,18.96078,19.40915,18.98877,19.45645,19.03873,19.26532,18.95429,19.07425,18.89356,19.22083,18.88733,19.10336,19.03006,19.26614,19.29147,19.55969,18.94345,19.92322,19.05713,20.23624,18.88852,19.12756,18.93539,19.1326,18.62778,19.02704,18.8653,19.04932,18.90521,19.13977,18.92825,19.19891,18.73422,19.33002,19.29721,19.27533,18.93646,19.30225,19.19138,19.06348,18.80975,19.00497,19.2478,19.16534,18.95575,19.08954,19.45947,19.6712,18.83536,19.2785,20.14615,20.85495,19.55292,19.57816,19.16647,19.58646,18.85013,19.46231,18.83676,19.22739,18.97952,19.4632,19.0451,19.18488,18.63556,19.3703,19.05136,19.20523,18.81204,19.52338,18.97229,19.04495,18.93417,19.25937,18.87015,19.0726,18.79413,19.20453,18.96588,19.68881,18.58984,19.64377,19.69479,19.72937,18.23312,19.51709,19.0014,19.62445,18.93506,19.38809,19.52438,19.89569,20.28058,21.79419,21.01755,19.49045,19.0069,19.22348,19.32941,19.27899,18.88461,19.19803,19.17999,19.08087,19.02542,19.19775,19.0549,19.32281,19.06012,19.24734,19.84506,19.39237,19.75113,19.55054,20.21985,20.20447,18.75897,20.2522,19.35672,19.97659,19.34,20.09546,19.66269,20.76401,21.80569,23.59625,22.51099,20.78574,19.66364,19.25049,19.13876,19.125,18.8266,19.37341,18.82986,19.02933,18.9585,19.21439,18.98322,19.0737,18.74555,19.63837,19.45953,19.64459,19.58926,19.88678,19.44278,20.08878,18.20746,19.83673,19.39651,20.41739,19.3573,20.4982,20.11826,23.72192,24.52316,25.48026,25.1344,24.20786,22.6178,21.27216,20.21451,19.55154,18.97382,19.27142,19.32394,19.1463,18.73447,19.34702,19.51733,19.60983,19.06494,19.54407,20.12167,19.5441,19.53052,19.82431,20.43799,20.96185,19.38413,20.55826,19.78662,20.95654,20.1214,21.37952,20.78211,25.29642,25.42697,26.44608,25.64966,25.34045,24.23642,23.27588,21.74741,20.574,19.74768,19.57205,18.97797,19.30255,18.8363,19.45108,18.91803,19.6037,18.75958,19.77673,19.57806,19.47565,19.401,20.54053,19.53745,21.76199,19.16141,20.89581,19.4711,21.66422,20.67157,22.64874,22.38867,24.97238,24.71799,27.13281,27.09921,26.85944,26.14893,26.18762,25.61078,24.80225,23.82794,22.04611,20.6759,19.47681,18.99655,19.63226,19.58273,19.59918,19.25858,19.72061,20.17267,20.17481,19.84641,20.80316,23.18234,23.6394,20.36368,21.8905,19.87585,22.17178,20.67801,22.7569,21.81528,23.8942,23.51111,27.02209,27.23444,27.30331,26.37628,26.9281,26.23892,26.03931,25.25412,24.14203,22.46506,20.30277,18.90195,19.64072,18.80737,19.21204,19.08472,19.94061,19.68951,20.40341,19.45212,21.67151,21.44192]"
